SQLDATE,EventCode,QuadClass,GoldsteinScale,AvgTone,NumArticles,ActionGeo_CountryCode,NumMentions,Contains14sub,Contains14
20150110,181,4,-9.0,-1.43884892086331,4,HK,4,1,0
20150204,180,4,-9.0,-2.4390243902439,4,HK,4,1,0
20150215,180,4,-9.0,-3.25203252032521,2,HK,2,1,0
20150218,1821,4,-9.0,-6.68286755771567,7,HK,7,1,0
20150219,181,4,-9.0,-0.7154213036566,3,HK,3,1,0
20150220,186,4,-10.0,4.04494382022472,2,HK,2,1,0
20150221,1823,4,-10.0,-3.40041637751561,2,HK,2,1,0
20150223,186,4,-10.0,-3.48360655737705,10,HK,10,1,0
20150224,186,4,-10.0,-3.14465408805031,1,HK,1,1,0
20150225,181,4,-9.0,-5.73248407643312,2,HK,2,1,0
20150227,1822,4,-9.0,0.0,10,HK,10,1,0
20150301,180,4,-9.0,-12.987012987013,10,HK,10,1,0
20150302,180,4,-9.0,-9.91867690058479,20,HK,20,1,1
20150303,182,4,-9.5,-7.79944289693593,10,HK,10,1,0
20150304,186,4,-10.0,3.3815092891355,30,HK,30,1,1
20150305,182,4,-9.5,-12.8158844765343,10,HK,10,1,0
20150307,181,4,-9.0,-1.23022847100176,2,HK,2,1,0
20150309,181,4,-9.0,-1.40845070422535,1,HK,1,1,0
20150311,183,4,-10.0,-6.0,2,HK,2,1,0
20150313,186,4,-10.0,0.425531914893617,8,HK,8,1,0
20150315,1831,4,-10.0,-7.56302521008404,6,HK,6,1,0
20150317,181,4,-9.0,-7.85498489425982,10,HK,10,1,0
20150318,1821,4,-9.0,-6.15577889447236,2,HK,2,1,0
20150320,181,4,-9.0,-4.76190476190476,8,HK,8,1,0
20150322,180,4,-9.0,-0.50125313283208,2,HK,2,1,0
20150323,182,4,-9.5,-5.72687224669604,10,HK,10,1,0
20150326,181,4,-9.0,-4.76190476190476,1,HK,1,1,0
20150327,1821,4,-9.0,-6.5625,10,HK,10,1,0
20150328,1822,4,-9.0,-1.73380928097909,10,HK,10,1,0
20150329,180,4,-9.0,-1.86625194401244,5,HK,5,1,0
20150330,186,4,-10.0,-0.452488687782806,3,HK,3,1,0
20150331,182,4,-9.5,-7.74818401937046,10,HK,10,1,0
20150402,180,4,-9.0,-2.68138801261829,2,HK,2,1,0
20150403,1831,4,-10.0,-9.8159509202454,8,HK,8,1,0
20150404,1821,4,-9.0,-10.4395604395604,6,HK,6,1,0
20150406,181,4,-9.0,-2.63414634146342,10,HK,10,1,0
20150408,181,4,-9.0,-2.98102981029811,10,HK,10,1,0
20150410,180,4,-9.0,-8.53242320819113,10,HK,10,1,0
20150412,180,4,-9.0,-8.24742268041237,2,HK,2,1,0
20150413,181,4,-9.0,9.30232558139536,4,HK,4,1,0
20150414,181,4,-9.0,-3.50877192982456,10,HK,10,1,0
20150415,180,4,-9.0,-6.52818991097923,10,HK,10,1,0
20150416,180,4,-9.0,-10.2409638554217,6,HK,6,1,0
20150417,180,4,-9.0,-6.58227848101266,5,HK,5,1,0
20150421,180,4,-9.0,-2.6431718061674,2,HK,2,1,0
20150423,1821,4,-9.0,-2.57234726688103,1,HK,1,1,0
20150427,180,4,-9.0,-7.53012048192771,10,HK,10,1,0
20150428,181,4,-9.0,-5.92334494773519,10,HK,10,1,0
20150429,181,4,-9.0,-8.02348336594912,10,HK,10,1,0
20150430,181,4,-9.0,-3.73250388802488,5,HK,5,1,0
20150501,181,4,-9.0,-9.28961748633882,5,HK,5,1,0
20150502,180,4,-9.0,-5.72792362768497,10,HK,10,1,0
20150504,186,4,-10.0,-4.22535211267606,10,HK,10,1,0
20150505,180,4,-9.0,-7.2,5,HK,5,1,0
20150507,1821,4,-9.0,-3.03030303030303,6,HK,6,1,0
20150511,186,4,-10.0,-4.83333333333333,10,HK,10,1,0
20150514,1822,4,-9.0,-7.53246753246753,6,HK,6,1,0
20150515,180,4,-9.0,-7.87671232876708,10,HK,10,1,0
20150517,182,4,-9.5,-8.60927152317881,2,HK,2,1,0
